,Seed,Average Ticks,Total Ticks
0,0,39.005208333333336,344.0
1,1,38.666666666666664,345.0
2,2,39.0625,347.0
3,3,38.90625,346.0
4,4,39.020833333333336,328.0
5,5,40.317708333333336,348.0
6,6,39.28125,331.0
7,7,40.0625,338.0
8,8,39.015625,333.0
9,9,39.265625,333.0
10,10,39.333333333333336,329.0
11,11,38.932291666666664,323.0
12,12,38.348958333333336,317.0
13,13,39.364583333333336,321.0
14,14,39.03125,328.0
15,15,39.026041666666664,334.0
16,16,39.895833333333336,347.0
17,17,38.921875,323.0
18,18,39.760416666666664,329.0
19,19,39.760416666666664,341.0
20,Average,39.248958333333334,334.25
